
=== GRAPH INFO ===
Nodi: 185742
Archi: 591042
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 358020 = 4d3h27min


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 57141

size 24 → 20 pattern
size 25 → 21 pattern
size 26 → 23 pattern
size 27 → 19 pattern
size 28 → 25 pattern
size 29 → 19 pattern
size 30 → 28 pattern
size 31 → 29 pattern
size 32 → 23 pattern
size 33 → 21 pattern
size 34 → 22 pattern
size 35 → 22 pattern
size 36 → 18 pattern
size 37 → 15 pattern
size 38 → 16 pattern
size 39 → 18 pattern
size 40 → 16 pattern
size 41 → 16 pattern
size 42 → 17 pattern
size 43 → 23 pattern
size 44 → 16 pattern
size 45 → 19 pattern
size 46 → 17 pattern
size 47 → 18 pattern
size 48 → 13 pattern
size 49 → 13 pattern
size 50 → 21 pattern
size 51 → 24 pattern
size 52 → 16 pattern
size 53 → 9 pattern
size 54 → 10 pattern
size 55 → 17 pattern
size 56 → 13 pattern
size 57 → 9 pattern
size 58 → 8 pattern
size 59 → 8 pattern
size 60 → 15 pattern
size 61 → 14 pattern
size 62 → 12 pattern
size 63 → 17 pattern
size 64 → 5 pattern
size 65 → 8 pattern
size 66 → 7 pattern
size 67 → 12 pattern
size 68 → 13 pattern
size 69 → 13 pattern
size 70 → 14 pattern
size 71 → 9 pattern
size 72 → 15 pattern
size 73 → 5 pattern
size 74 → 5 pattern
size 75 → 13 pattern
size 76 → 9 pattern
size 77 → 13 pattern
size 78 → 11 pattern
size 79 → 14 pattern
size 80 → 6 pattern
size 81 → 8 pattern
size 82 → 5 pattern
size 83 → 12 pattern
size 84 → 8 pattern
size 85 → 11 pattern
size 86 → 7 pattern
size 87 → 13 pattern
size 88 → 12 pattern
size 89 → 6 pattern
size 90 → 9 pattern
size 91 → 6 pattern
size 92 → 11 pattern
size 93 → 7 pattern
size 94 → 15 pattern
size 95 → 7 pattern
size 96 → 11 pattern
size 97 → 5 pattern
size 98 → 11 pattern
size 99 → 7 pattern
size 100 → 9 pattern
size 101 → 13 pattern
size 102 → 5 pattern
size 103 → 4 pattern
size 104 → 4 pattern
size 105 → 8 pattern
size 106 → 7 pattern
size 107 → 6 pattern
size 108 → 6 pattern
size 109 → 5 pattern
size 110 → 5 pattern
size 111 → 9 pattern
size 112 → 4 pattern
size 113 → 4 pattern
size 114 → 2 pattern
size 115 → 8 pattern
size 116 → 5 pattern
size 117 → 8 pattern
size 118 → 6 pattern
size 119 → 6 pattern
size 120 → 6 pattern
size 121 → 4 pattern
size 122 → 8 pattern
size 123 → 7 pattern
size 124 → 9 pattern
size 125 → 5 pattern
size 126 → 6 pattern
size 127 → 5 pattern
size 128 → 4 pattern
size 129 → 8 pattern
size 130 → 5 pattern
size 131 → 2 pattern
size 132 → 4 pattern
size 133 → 2 pattern
size 134 → 5 pattern
size 135 → 8 pattern
size 136 → 8 pattern
size 137 → 8 pattern
size 138 → 6 pattern
size 139 → 9 pattern
size 140 → 11 pattern
size 141 → 3 pattern
size 142 → 2 pattern
size 143 → 5 pattern
size 144 → 5 pattern
size 145 → 6 pattern
size 146 → 6 pattern
size 147 → 4 pattern
size 148 → 3 pattern
size 149 → 9 pattern
size 150 → 3 pattern
size 151 → 7 pattern
size 152 → 8 pattern
size 153 → 6 pattern
size 154 → 4 pattern
size 155 → 4 pattern
size 156 → 4 pattern
size 157 → 3 pattern
size 158 → 4 pattern
size 159 → 7 pattern
size 160 → 5 pattern
size 161 → 4 pattern
size 162 → 2 pattern
size 163 → 3 pattern
size 164 → 2 pattern
size 165 → 4 pattern
size 166 → 3 pattern
size 167 → 1 pattern
size 168 → 3 pattern
size 169 → 5 pattern
size 170 → 5 pattern
size 171 → 3 pattern
size 172 → 3 pattern
size 173 → 3 pattern
size 174 → 1 pattern
size 175 → 4 pattern
size 176 → 2 pattern
size 177 → 7 pattern
size 178 → 8 pattern
size 179 → 6 pattern
size 180 → 2 pattern
size 181 → 7 pattern
size 182 → 1 pattern
size 183 → 3 pattern
size 184 → 2 pattern
size 185 → 3 pattern
