
=== GRAPH INFO ===
Nodi: 185742
Archi: 591042
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 152482687 = 4y10m


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 62132

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 26540

size 2 → 10287 pattern
size 3 → 1199 pattern
size 4 → 839 pattern
size 5 → 256 pattern
size 6 → 210 pattern
size 7 → 170 pattern
size 8 → 142 pattern
size 9 → 124 pattern
size 10 → 122 pattern
size 11 → 109 pattern
size 12 → 85 pattern
size 13 → 85 pattern
size 14 → 76 pattern
size 15 → 61 pattern
size 16 → 58 pattern
size 17 → 66 pattern
size 18 → 66 pattern
size 19 → 40 pattern
size 20 → 58 pattern
size 21 → 58 pattern
size 22 → 39 pattern
size 23 → 46 pattern
size 24 → 28 pattern
size 25 → 37 pattern
size 26 → 37 pattern
size 27 → 31 pattern
size 28 → 36 pattern
size 29 → 24 pattern
size 30 → 46 pattern
size 31 → 39 pattern
size 32 → 33 pattern
size 33 → 28 pattern
size 34 → 29 pattern
size 35 → 35 pattern
size 36 → 26 pattern
size 37 → 21 pattern
size 38 → 27 pattern
size 39 → 27 pattern
size 40 → 23 pattern
size 41 → 25 pattern
size 42 → 25 pattern
size 43 → 27 pattern
size 44 → 21 pattern
size 45 → 21 pattern
size 46 → 25 pattern
size 47 → 21 pattern
size 48 → 21 pattern
size 49 → 20 pattern
size 50 → 27 pattern
size 51 → 34 pattern
size 52 → 19 pattern
size 53 → 13 pattern
size 54 → 15 pattern
size 55 → 23 pattern
size 56 → 21 pattern
size 57 → 14 pattern
size 58 → 15 pattern
size 59 → 10 pattern
size 60 → 21 pattern
size 61 → 20 pattern
size 62 → 19 pattern
size 63 → 21 pattern
size 64 → 8 pattern
size 65 → 17 pattern
size 66 → 12 pattern
size 67 → 17 pattern
size 68 → 16 pattern
size 69 → 18 pattern
size 70 → 17 pattern
size 71 → 16 pattern
size 72 → 21 pattern
size 73 → 13 pattern
size 74 → 8 pattern
size 75 → 20 pattern
size 76 → 17 pattern
size 77 → 16 pattern
size 78 → 16 pattern
size 79 → 21 pattern
size 80 → 13 pattern
size 81 → 15 pattern
size 82 → 9 pattern
size 83 → 17 pattern
size 84 → 10 pattern
size 85 → 16 pattern
size 86 → 8 pattern
size 87 → 19 pattern
size 88 → 15 pattern
size 89 → 13 pattern
size 90 → 11 pattern
size 91 → 12 pattern
size 92 → 18 pattern
size 93 → 16 pattern
size 94 → 15 pattern
size 95 → 14 pattern
size 96 → 17 pattern
size 97 → 8 pattern
size 98 → 11 pattern
size 99 → 9 pattern
size 100 → 12 pattern
size 101 → 18 pattern
size 102 → 11 pattern
size 103 → 7 pattern
size 104 → 8 pattern
size 105 → 10 pattern
size 106 → 10 pattern
size 107 → 8 pattern
size 108 → 10 pattern
size 109 → 7 pattern
size 110 → 8 pattern
size 111 → 9 pattern
size 112 → 6 pattern
size 113 → 10 pattern
size 114 → 7 pattern
size 115 → 10 pattern
size 116 → 8 pattern
size 117 → 10 pattern
size 118 → 10 pattern
size 119 → 9 pattern
size 120 → 10 pattern
size 121 → 9 pattern
size 122 → 9 pattern
size 123 → 11 pattern
size 124 → 16 pattern
size 125 → 7 pattern
size 126 → 8 pattern
size 127 → 7 pattern
size 128 → 8 pattern
size 129 → 13 pattern
size 130 → 7 pattern
size 131 → 4 pattern
size 132 → 10 pattern
size 133 → 8 pattern
size 134 → 9 pattern
size 135 → 10 pattern
size 136 → 12 pattern
size 137 → 12 pattern
size 138 → 9 pattern
size 139 → 11 pattern
size 140 → 15 pattern
size 141 → 5 pattern
size 142 → 10 pattern
size 143 → 9 pattern
size 144 → 7 pattern
size 145 → 7 pattern
size 146 → 10 pattern
size 147 → 8 pattern
size 148 → 4 pattern
size 149 → 10 pattern
size 150 → 6 pattern
size 151 → 12 pattern
size 152 → 10 pattern
size 153 → 7 pattern
size 154 → 4 pattern
size 155 → 8 pattern
size 156 → 9 pattern
size 157 → 3 pattern
size 158 → 9 pattern
size 159 → 10 pattern
size 160 → 5 pattern
size 161 → 6 pattern
size 162 → 4 pattern
size 163 → 4 pattern
size 164 → 2 pattern
size 165 → 5 pattern
size 166 → 6 pattern
size 167 → 4 pattern
size 168 → 5 pattern
size 169 → 9 pattern
size 170 → 9 pattern
size 171 → 5 pattern
size 172 → 7 pattern
size 173 → 3 pattern
size 174 → 4 pattern
size 175 → 7 pattern
size 176 → 4 pattern
size 177 → 10 pattern
size 178 → 10 pattern
size 179 → 8 pattern
size 180 → 2 pattern
size 181 → 10 pattern
size 182 → 4 pattern
size 183 → 4 pattern
size 184 → 4 pattern
size 185 → 6 pattern
size 186 → 2 pattern
size 187 → 7 pattern
size 188 → 2 pattern
size 189 → 6 pattern
size 190 → 8 pattern
size 191 → 8 pattern
size 192 → 4 pattern
size 193 → 6 pattern
size 194 → 7 pattern
size 195 → 4 pattern
size 196 → 7 pattern
size 197 → 7 pattern
size 198 → 8 pattern
size 199 → 11 pattern
size 200 → 5 pattern
size 201 → 3 pattern
size 202 → 7 pattern
size 203 → 6 pattern
size 204 → 6 pattern
size 205 → 1 pattern
size 206 → 9 pattern
size 207 → 4 pattern
size 208 → 9 pattern
size 209 → 3 pattern
size 210 → 3 pattern
size 211 → 5 pattern
size 212 → 9 pattern
size 213 → 7 pattern
size 214 → 6 pattern
size 215 → 5 pattern
size 216 → 6 pattern
size 217 → 6 pattern
size 218 → 10 pattern
size 219 → 8 pattern
size 220 → 4 pattern
size 222 → 2 pattern
size 223 → 3 pattern
size 224 → 3 pattern
size 225 → 5 pattern
size 226 → 8 pattern
size 227 → 6 pattern
size 228 → 8 pattern
size 229 → 7 pattern
size 230 → 7 pattern
size 231 → 6 pattern
size 232 → 11 pattern
size 233 → 5 pattern
size 234 → 7 pattern
size 235 → 7 pattern
size 236 → 2 pattern
size 237 → 8 pattern
size 238 → 2 pattern
size 239 → 7 pattern
size 240 → 10 pattern
size 241 → 5 pattern
size 242 → 8 pattern
size 243 → 3 pattern
size 244 → 2 pattern
size 245 → 7 pattern
size 246 → 5 pattern
size 247 → 3 pattern
size 248 → 3 pattern
size 249 → 5 pattern
size 250 → 4 pattern
size 251 → 5 pattern
size 252 → 3 pattern
size 253 → 6 pattern
size 254 → 6 pattern
size 255 → 4 pattern
size 256 → 5 pattern
size 257 → 7 pattern
size 258 → 3 pattern
size 259 → 6 pattern
size 260 → 1 pattern
size 261 → 1 pattern
size 262 → 3 pattern
size 263 → 2 pattern
size 264 → 4 pattern
size 265 → 6 pattern
size 266 → 1 pattern
size 267 → 7 pattern
