
=== GRAPH INFO ===
Nodi: 29490
Archi: 259733
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 227659473 = 7y2m2w5d22h44min33s
size 15103 → 1 pattern
size 15104 → 1 pattern
size 15113 → 1 pattern
size 15139 → 1 pattern
size 15166 → 1 pattern
size 15261 → 1 pattern
size 15279 → 1 pattern
size 15440 → 1 pattern
size 15457 → 1 pattern
size 15463 → 1 pattern
size 15570 → 1 pattern
size 15604 → 1 pattern
size 15617 → 1 pattern
size 15618 → 1 pattern
size 15672 → 1 pattern
size 15684 → 1 pattern
size 15706 → 1 pattern
size 15778 → 1 pattern
size 15872 → 1 pattern
size 15921 → 1 pattern
size 16084 → 1 pattern
size 16104 → 1 pattern
size 16134 → 1 pattern
size 16151 → 1 pattern
size 16153 → 1 pattern
size 16283 → 1 pattern
size 16348 → 1 pattern
size 16368 → 1 pattern
size 16372 → 1 pattern
size 16429 → 1 pattern
size 16437 → 1 pattern
size 16535 → 1 pattern
size 16637 → 1 pattern
size 16682 → 1 pattern
size 16750 → 1 pattern
size 16762 → 1 pattern
size 16814 → 1 pattern
size 16837 → 1 pattern
size 16839 → 1 pattern
size 16844 → 1 pattern
size 16890 → 1 pattern
size 16937 → 1 pattern
size 16949 → 1 pattern
size 17011 → 1 pattern
size 17068 → 1 pattern
size 17196 → 1 pattern
size 17218 → 1 pattern
size 17250 → 1 pattern
size 17321 → 1 pattern
size 17329 → 1 pattern
size 17346 → 1 pattern
size 17353 → 1 pattern
size 17364 → 1 pattern
size 17382 → 1 pattern
size 17449 → 1 pattern
size 17572 → 1 pattern
size 17714 → 1 pattern
size 17804 → 1 pattern
size 17973 → 1 pattern
size 18221 → 1 pattern
size 18382 → 1 pattern
size 18467 → 1 pattern
size 18615 → 1 pattern
size 18697 → 1 pattern
size 18699 → 1 pattern
size 18737 → 1 pattern
size 18738 → 1 pattern
size 18848 → 1 pattern
size 18858 → 1 pattern
size 18959 → 1 pattern
size 19101 → 1 pattern
size 19240 → 1 pattern
size 19282 → 1 pattern
size 19318 → 1 pattern
size 19407 → 1 pattern
size 19615 → 1 pattern
size 19694 → 1 pattern
size 19887 → 1 pattern
size 19896 → 1 pattern
size 20010 → 1 pattern
size 20124 → 1 pattern
size 20365 → 1 pattern
size 20417 → 1 pattern
size 20607 → 1 pattern
size 20876 → 1 pattern
size 20894 → 1 pattern
size 21143 → 1 pattern
size 21269 → 1 pattern
size 21386 → 1 pattern
size 21550 → 1 pattern
size 21703 → 1 pattern
size 22010 → 1 pattern
size 22046 → 1 pattern
size 22255 → 1 pattern
size 22260 → 1 pattern
size 22413 → 1 pattern
size 22459 → 1 pattern
size 23043 → 1 pattern
size 23307 → 1 pattern
size 23355 → 1 pattern
size 23367 → 1 pattern
size 23446 → 1 pattern
size 23498 → 1 pattern
size 23507 → 1 pattern
size 23523 → 1 pattern
size 23633 → 1 pattern
size 23918 → 1 pattern
size 24212 → 1 pattern
size 24283 → 1 pattern
size 24429 → 1 pattern
size 24431 → 1 pattern
size 24813 → 1 pattern
size 25013 → 1 pattern
size 25285 → 1 pattern
size 25540 → 1 pattern
size 25740 → 1 pattern
size 25775 → 1 pattern
size 25988 → 1 pattern
size 26336 → 1 pattern
size 26680 → 1 pattern
size 26723 → 1 pattern
size 26731 → 1 pattern
size 27118 → 1 pattern
size 27686 → 1 pattern
size 27693 → 1 pattern
size 28038 → 1 pattern
size 28172 → 1 pattern
size 28245 → 1 pattern
size 28728 → 1 pattern
size 29675 → 1 pattern
size 29840 → 1 pattern
size 30081 → 1 pattern
size 30463 → 1 pattern
size 30529 → 1 pattern
size 30704 → 1 pattern
size 31109 → 1 pattern
size 31218 → 1 pattern
size 31268 → 1 pattern
size 31609 → 1 pattern
size 31745 → 1 pattern
size 32122 → 1 pattern
size 32347 → 1 pattern
size 32871 → 1 pattern
size 33322 → 1 pattern
size 33355 → 1 pattern
size 33361 → 1 pattern
size 33494 → 1 pattern
size 33574 → 1 pattern
size 33764 → 1 pattern
size 34265 → 1 pattern
size 34581 → 1 pattern
size 34722 → 1 pattern
size 35207 → 1 pattern
size 35255 → 1 pattern
size 35525 → 1 pattern
size 36116 → 1 pattern
size 36416 → 1 pattern
size 36789 → 1 pattern
size 36974 → 1 pattern
size 36983 → 1 pattern
size 37115 → 1 pattern
size 37233 → 1 pattern
size 37556 → 1 pattern
size 37627 → 1 pattern
size 37641 → 1 pattern
size 37678 → 1 pattern
size 37783 → 1 pattern
size 37841 → 1 pattern
size 38513 → 1 pattern
size 38662 → 1 pattern
size 39037 → 1 pattern
size 39136 → 1 pattern
size 39190 → 1 pattern
size 39372 → 1 pattern
size 39696 → 1 pattern
size 39982 → 1 pattern
size 40207 → 1 pattern
size 40219 → 1 pattern
size 40791 → 1 pattern
size 41077 → 1 pattern
size 41268 → 1 pattern
size 41734 → 1 pattern
size 41787 → 1 pattern
size 41821 → 1 pattern
size 42215 → 1 pattern
size 42492 → 1 pattern
size 42620 → 1 pattern
size 42701 → 1 pattern
size 43277 → 1 pattern
size 44012 → 1 pattern
size 44071 → 1 pattern
size 44369 → 1 pattern
size 44571 → 1 pattern
size 44861 → 1 pattern
size 45074 → 1 pattern
size 45869 → 1 pattern
size 47224 → 1 pattern
size 47997 → 1 pattern
size 48214 → 1 pattern
size 48296 → 1 pattern
size 49878 → 1 pattern
size 49979 → 1 pattern
size 50495 → 1 pattern
size 50607 → 1 pattern
size 51019 → 1 pattern
size 52147 → 1 pattern
size 54614 → 1 pattern
size 54943 → 1 pattern
size 61264 → 1 pattern
size 66532 → 1 pattern
size 67196 → 1 pattern
size 70684 → 1 pattern
size 73437 → 1 pattern
size 79181 → 1 pattern
size 82187 → 1 pattern
size 87300 → 1 pattern
Contiguous

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 5991

size 2 → 5726 pattern
size 3 → 180 pattern
size 4 → 64 pattern
size 5 → 5 pattern
size 6 → 10 pattern
size 8 → 2 pattern
size 9 → 1 pattern
size 12 → 1 pattern
size 17 → 1 pattern
size 19 → 1 pattern
