
=== GRAPH INFO ===
Nodi: 191928
Archi: 717436
Duration (sec): 152483117 = 4y in interval [1610801082, 1763284199]
Delta (sec): 407124 = 4d17h5min24s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 65957

size 352 → 2 pattern
size 353 → 1 pattern
size 355 → 2 pattern
size 356 → 1 pattern
size 357 → 1 pattern
size 358 → 2 pattern
size 361 → 2 pattern
size 363 → 1 pattern
size 367 → 1 pattern
size 369 → 1 pattern
size 371 → 1 pattern
size 372 → 1 pattern
size 376 → 1 pattern
size 377 → 2 pattern
size 380 → 1 pattern
size 383 → 1 pattern
size 384 → 1 pattern
size 389 → 3 pattern
size 391 → 1 pattern
size 393 → 1 pattern
size 397 → 2 pattern
size 406 → 1 pattern
size 414 → 1 pattern
size 415 → 1 pattern
size 417 → 1 pattern
size 420 → 1 pattern
size 422 → 1 pattern
size 428 → 1 pattern
size 431 → 1 pattern
size 433 → 1 pattern
size 435 → 1 pattern
size 436 → 1 pattern
size 437 → 1 pattern
size 439 → 2 pattern
size 447 → 1 pattern
size 451 → 1 pattern
size 455 → 1 pattern
size 457 → 1 pattern
size 458 → 1 pattern
size 462 → 1 pattern
size 467 → 1 pattern
size 475 → 1 pattern
size 481 → 1 pattern
size 487 → 1 pattern
size 494 → 2 pattern
size 495 → 1 pattern
size 500 → 1 pattern
size 501 → 1 pattern
size 504 → 1 pattern
size 506 → 1 pattern
size 507 → 1 pattern
size 521 → 1 pattern
size 531 → 1 pattern
size 537 → 1 pattern
size 538 → 1 pattern
size 542 → 1 pattern
size 548 → 1 pattern
size 555 → 1 pattern
size 559 → 1 pattern
size 563 → 1 pattern
size 571 → 1 pattern
size 575 → 1 pattern
size 576 → 1 pattern
size 579 → 1 pattern
size 593 → 2 pattern
size 594 → 1 pattern
size 612 → 1 pattern
size 617 → 1 pattern
size 621 → 1 pattern
size 623 → 1 pattern
size 665 → 1 pattern
size 671 → 1 pattern
size 674 → 1 pattern
size 677 → 1 pattern
size 678 → 1 pattern
size 680 → 1 pattern
size 687 → 1 pattern
size 688 → 1 pattern
size 700 → 1 pattern
size 713 → 1 pattern
size 720 → 1 pattern
size 721 → 2 pattern
size 730 → 1 pattern
size 740 → 1 pattern
size 757 → 1 pattern
size 759 → 1 pattern
size 769 → 1 pattern
size 773 → 1 pattern
size 782 → 1 pattern
size 794 → 1 pattern
size 801 → 1 pattern
size 802 → 2 pattern
size 806 → 1 pattern
size 809 → 1 pattern
size 820 → 1 pattern
size 827 → 1 pattern
size 830 → 1 pattern
size 831 → 1 pattern
size 856 → 1 pattern
size 866 → 1 pattern
size 901 → 1 pattern
size 914 → 1 pattern
size 925 → 1 pattern
size 930 → 1 pattern
size 932 → 1 pattern
size 965 → 1 pattern
size 975 → 1 pattern
size 995 → 1 pattern
size 1001 → 1 pattern
size 1002 → 1 pattern
size 1024 → 1 pattern
size 1025 → 1 pattern
size 1028 → 1 pattern
size 1037 → 1 pattern
size 1040 → 1 pattern
size 1087 → 1 pattern
size 1102 → 1 pattern
size 1109 → 1 pattern
size 1150 → 1 pattern
size 1157 → 1 pattern
size 1185 → 1 pattern
size 1201 → 1 pattern
size 1207 → 1 pattern
size 1213 → 1 pattern
size 1242 → 1 pattern
size 1287 → 1 pattern
size 1400 → 1 pattern
size 1417 → 1 pattern
size 1457 → 1 pattern
size 1481 → 1 pattern
size 1486 → 1 pattern
size 1533 → 1 pattern
size 1542 → 1 pattern
size 1580 → 1 pattern
size 1626 → 1 pattern
size 1631 → 1 pattern
size 1634 → 1 pattern
size 1642 → 1 pattern
size 1666 → 1 pattern
size 1679 → 1 pattern
size 1807 → 1 pattern
size 1818 → 1 pattern
size 1886 → 1 pattern
size 1917 → 1 pattern
size 1921 → 1 pattern
size 1971 → 1 pattern
size 2013 → 1 pattern
size 2153 → 1 pattern
size 2222 → 1 pattern
size 2240 → 1 pattern
size 2251 → 1 pattern
size 2263 → 1 pattern
size 2283 → 1 pattern
size 2338 → 1 pattern
