
=== GRAPH INFO ===
Nodi: 191928
Archi: 717436
Duration (sec): 152483117 = 4y in interval [1610801082, 1763284199]
Delta (sec): 152483117 = 4y10m


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 69581

size 42 → 28 pattern
size 43 → 29 pattern
size 44 → 27 pattern
size 45 → 22 pattern
size 46 → 26 pattern
size 47 → 20 pattern
size 48 → 16 pattern
size 49 → 28 pattern
size 50 → 24 pattern
size 51 → 32 pattern
size 52 → 23 pattern
size 53 → 19 pattern
size 54 → 18 pattern
size 55 → 19 pattern
size 56 → 23 pattern
size 57 → 17 pattern
size 58 → 16 pattern
size 59 → 11 pattern
size 60 → 21 pattern
size 61 → 19 pattern
size 62 → 18 pattern
size 63 → 22 pattern
size 64 → 11 pattern
size 65 → 17 pattern
size 66 → 13 pattern
size 67 → 15 pattern
size 68 → 20 pattern
size 69 → 19 pattern
size 70 → 18 pattern
size 71 → 16 pattern
size 72 → 20 pattern
size 73 → 16 pattern
size 74 → 12 pattern
size 75 → 18 pattern
size 76 → 19 pattern
size 77 → 16 pattern
size 78 → 18 pattern
size 79 → 22 pattern
size 80 → 12 pattern
size 81 → 17 pattern
size 82 → 10 pattern
size 83 → 18 pattern
size 84 → 12 pattern
size 85 → 15 pattern
size 86 → 11 pattern
size 87 → 18 pattern
size 88 → 15 pattern
size 89 → 13 pattern
size 90 → 13 pattern
size 91 → 11 pattern
size 92 → 15 pattern
size 93 → 19 pattern
size 94 → 17 pattern
size 95 → 14 pattern
size 96 → 17 pattern
size 97 → 11 pattern
size 98 → 12 pattern
size 99 → 8 pattern
size 100 → 11 pattern
size 101 → 19 pattern
size 102 → 11 pattern
size 103 → 5 pattern
size 104 → 10 pattern
size 105 → 11 pattern
size 106 → 12 pattern
size 107 → 11 pattern
size 108 → 8 pattern
size 109 → 9 pattern
size 110 → 6 pattern
size 111 → 10 pattern
size 112 → 8 pattern
size 113 → 9 pattern
size 114 → 5 pattern
size 115 → 9 pattern
size 116 → 8 pattern
size 117 → 11 pattern
size 118 → 8 pattern
size 119 → 10 pattern
size 120 → 12 pattern
size 121 → 11 pattern
size 122 → 10 pattern
size 123 → 13 pattern
size 124 → 15 pattern
size 125 → 7 pattern
size 126 → 6 pattern
size 127 → 7 pattern
size 128 → 7 pattern
size 129 → 10 pattern
size 130 → 16 pattern
size 131 → 4 pattern
size 132 → 8 pattern
size 133 → 4 pattern
size 134 → 8 pattern
size 135 → 15 pattern
size 136 → 10 pattern
size 137 → 12 pattern
size 138 → 9 pattern
size 139 → 12 pattern
size 140 → 18 pattern
size 141 → 6 pattern
size 142 → 9 pattern
size 143 → 12 pattern
size 144 → 7 pattern
size 145 → 5 pattern
size 146 → 6 pattern
size 147 → 7 pattern
size 148 → 4 pattern
size 149 → 13 pattern
size 150 → 4 pattern
size 151 → 12 pattern
size 152 → 9 pattern
size 153 → 11 pattern
size 154 → 7 pattern
size 155 → 7 pattern
size 156 → 6 pattern
size 157 → 3 pattern
size 158 → 10 pattern
size 159 → 9 pattern
size 160 → 6 pattern
size 161 → 7 pattern
size 162 → 6 pattern
size 163 → 5 pattern
size 164 → 4 pattern
size 165 → 4 pattern
size 166 → 6 pattern
size 167 → 2 pattern
size 168 → 5 pattern
size 169 → 11 pattern
size 170 → 8 pattern
size 171 → 4 pattern
size 172 → 8 pattern
size 173 → 8 pattern
size 174 → 4 pattern
size 175 → 6 pattern
size 176 → 7 pattern
size 177 → 8 pattern
size 178 → 11 pattern
size 179 → 7 pattern
size 180 → 5 pattern
size 181 → 9 pattern
size 182 → 4 pattern
size 183 → 4 pattern
size 184 → 5 pattern
size 185 → 3 pattern
size 186 → 2 pattern
size 187 → 13 pattern
size 188 → 2 pattern
size 189 → 5 pattern
size 190 → 7 pattern
size 191 → 5 pattern
size 192 → 6 pattern
size 193 → 5 pattern
size 194 → 6 pattern
size 195 → 2 pattern
size 196 → 4 pattern
size 197 → 9 pattern
size 198 → 7 pattern
size 199 → 8 pattern
size 200 → 7 pattern
size 201 → 5 pattern
size 202 → 8 pattern
size 203 → 8 pattern
size 204 → 6 pattern
size 205 → 5 pattern
size 206 → 8 pattern
size 207 → 4 pattern
size 208 → 7 pattern
size 209 → 5 pattern
size 210 → 3 pattern
size 211 → 3 pattern
size 212 → 8 pattern
size 213 → 6 pattern
size 214 → 8 pattern
size 215 → 5 pattern
size 216 → 7 pattern
size 217 → 8 pattern
size 218 → 9 pattern
size 219 → 9 pattern
size 220 → 6 pattern
size 221 → 2 pattern
size 222 → 2 pattern
size 223 → 5 pattern
size 224 → 4 pattern
size 225 → 4 pattern
size 226 → 7 pattern
size 227 → 8 pattern
size 228 → 5 pattern
size 229 → 5 pattern
size 230 → 8 pattern
size 231 → 5 pattern
size 232 → 8 pattern
size 233 → 5 pattern
size 234 → 7 pattern
size 235 → 10 pattern
size 236 → 4 pattern
size 237 → 9 pattern
size 238 → 3 pattern
size 239 → 5 pattern
size 240 → 6 pattern
size 241 → 7 pattern
size 242 → 5 pattern
size 243 → 3 pattern
size 244 → 5 pattern
size 245 → 7 pattern
size 246 → 4 pattern
size 247 → 4 pattern
size 248 → 5 pattern
size 249 → 6 pattern
size 250 → 5 pattern
size 251 → 7 pattern
size 252 → 6 pattern
size 253 → 7 pattern
size 254 → 4 pattern
size 255 → 6 pattern
size 256 → 7 pattern
size 257 → 6 pattern
size 258 → 4 pattern
size 259 → 7 pattern
size 260 → 2 pattern
size 261 → 2 pattern
size 262 → 2 pattern
size 263 → 2 pattern
size 264 → 4 pattern
size 265 → 7 pattern
size 266 → 3 pattern
size 267 → 3 pattern
size 268 → 3 pattern
size 269 → 4 pattern
size 270 → 3 pattern
size 271 → 9 pattern
size 272 → 2 pattern
size 273 → 6 pattern
size 274 → 5 pattern
size 276 → 5 pattern
size 277 → 2 pattern
size 278 → 3 pattern
size 279 → 3 pattern
size 280 → 3 pattern
size 281 → 3 pattern
size 282 → 5 pattern
size 283 → 5 pattern
size 284 → 7 pattern
size 285 → 8 pattern
size 286 → 4 pattern
size 287 → 4 pattern
size 288 → 2 pattern
size 289 → 5 pattern
size 290 → 1 pattern
size 291 → 3 pattern
size 292 → 5 pattern
size 293 → 2 pattern
size 294 → 5 pattern
size 295 → 6 pattern
size 296 → 5 pattern
size 297 → 7 pattern
size 298 → 3 pattern
size 299 → 1 pattern
size 300 → 3 pattern
size 301 → 5 pattern
size 302 → 5 pattern
size 303 → 1 pattern
size 304 → 2 pattern
size 305 → 3 pattern
size 306 → 3 pattern
size 307 → 6 pattern
size 308 → 6 pattern
size 309 → 3 pattern
size 310 → 7 pattern
size 311 → 3 pattern
size 312 → 5 pattern
size 313 → 3 pattern
size 314 → 4 pattern
size 315 → 6 pattern
size 316 → 5 pattern
size 317 → 3 pattern
size 318 → 2 pattern
size 319 → 1 pattern
size 320 → 1 pattern
size 321 → 6 pattern
size 322 → 4 pattern
size 323 → 2 pattern
size 324 → 1 pattern
size 325 → 2 pattern
size 326 → 2 pattern
size 327 → 1 pattern
size 328 → 3 pattern
size 329 → 4 pattern
size 330 → 3 pattern
size 331 → 5 pattern
size 332 → 1 pattern
size 333 → 6 pattern
size 334 → 5 pattern
size 335 → 4 pattern
size 336 → 4 pattern
size 337 → 5 pattern
size 338 → 7 pattern
size 339 → 2 pattern
size 340 → 5 pattern
size 341 → 2 pattern
size 342 → 3 pattern
size 343 → 10 pattern
size 344 → 2 pattern
size 345 → 2 pattern
size 346 → 3 pattern
size 347 → 5 pattern
size 348 → 5 pattern
size 349 → 3 pattern
size 350 → 6 pattern
size 351 → 4 pattern
size 352 → 4 pattern
size 353 → 4 pattern
size 354 → 2 pattern
size 355 → 4 pattern
size 356 → 6 pattern
size 357 → 6 pattern
size 358 → 5 pattern
size 359 → 2 pattern
size 360 → 4 pattern
size 361 → 3 pattern
size 362 → 2 pattern
size 363 → 5 pattern
size 364 → 2 pattern
size 365 → 5 pattern
size 366 → 7 pattern
size 367 → 3 pattern
size 368 → 3 pattern
size 369 → 4 pattern
size 370 → 3 pattern
size 371 → 8 pattern
size 372 → 5 pattern
size 374 → 1 pattern
size 375 → 7 pattern
size 376 → 7 pattern
size 377 → 1 pattern
size 378 → 6 pattern
size 379 → 4 pattern
size 380 → 6 pattern
size 381 → 2 pattern
size 382 → 3 pattern
size 383 → 3 pattern
size 384 → 5 pattern
size 385 → 2 pattern
size 386 → 2 pattern
size 387 → 5 pattern
size 388 → 6 pattern
size 389 → 8 pattern
size 390 → 7 pattern
size 391 → 2 pattern
size 392 → 2 pattern
size 393 → 1 pattern
size 394 → 4 pattern
size 395 → 3 pattern
size 396 → 4 pattern
size 397 → 4 pattern
size 398 → 3 pattern
size 400 → 3 pattern
size 401 → 6 pattern
size 402 → 7 pattern
size 403 → 3 pattern
size 404 → 3 pattern
size 405 → 4 pattern
size 406 → 6 pattern
size 407 → 1 pattern
size 408 → 3 pattern
size 409 → 2 pattern
size 410 → 2 pattern
size 411 → 4 pattern
size 412 → 5 pattern
size 413 → 4 pattern
size 414 → 8 pattern
size 415 → 2 pattern
size 416 → 3 pattern
size 417 → 2 pattern
size 418 → 2 pattern
size 419 → 5 pattern
size 420 → 7 pattern
size 421 → 3 pattern
size 422 → 1 pattern
size 423 → 2 pattern
size 424 → 4 pattern
size 425 → 4 pattern
size 426 → 3 pattern
size 427 → 4 pattern
size 429 → 3 pattern
size 430 → 6 pattern
size 431 → 4 pattern
size 432 → 3 pattern
size 433 → 5 pattern
size 434 → 4 pattern
size 435 → 2 pattern
size 436 → 5 pattern
size 437 → 3 pattern
size 438 → 1 pattern
size 439 → 1 pattern
size 442 → 3 pattern
size 443 → 2 pattern
size 444 → 2 pattern
size 445 → 2 pattern
size 446 → 2 pattern
size 447 → 8 pattern
size 448 → 6 pattern
size 449 → 5 pattern
