
=== GRAPH INFO ===
Nodi: 46225
Archi: 254531
Duration (sec): 89795761 = 2y in interval [1616822398, 1706618159]
Delta (sec): 89795761 = 2y10m1w2d7h16min1s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 22527

size 263 → 6 pattern
size 264 → 6 pattern
size 265 → 2 pattern
size 266 → 9 pattern
size 267 → 6 pattern
size 268 → 4 pattern
size 269 → 8 pattern
size 270 → 7 pattern
size 271 → 6 pattern
size 272 → 3 pattern
size 273 → 4 pattern
size 274 → 3 pattern
size 275 → 6 pattern
size 276 → 8 pattern
size 277 → 4 pattern
size 278 → 4 pattern
size 279 → 4 pattern
size 280 → 6 pattern
size 281 → 7 pattern
size 282 → 4 pattern
size 283 → 7 pattern
size 284 → 5 pattern
size 285 → 6 pattern
size 286 → 6 pattern
size 287 → 2 pattern
size 288 → 3 pattern
size 289 → 3 pattern
size 290 → 3 pattern
size 291 → 5 pattern
size 294 → 6 pattern
size 295 → 2 pattern
size 296 → 4 pattern
size 297 → 3 pattern
size 298 → 4 pattern
size 299 → 6 pattern
size 300 → 4 pattern
size 301 → 1 pattern
size 302 → 4 pattern
size 303 → 1 pattern
size 304 → 4 pattern
size 305 → 2 pattern
size 306 → 2 pattern
size 307 → 4 pattern
size 308 → 4 pattern
size 309 → 2 pattern
size 310 → 5 pattern
size 311 → 3 pattern
size 312 → 3 pattern
size 313 → 2 pattern
size 314 → 1 pattern
size 315 → 2 pattern
size 316 → 5 pattern
size 317 → 7 pattern
size 318 → 2 pattern
size 319 → 3 pattern
size 320 → 1 pattern
size 321 → 3 pattern
size 322 → 4 pattern
size 323 → 2 pattern
size 324 → 5 pattern
size 325 → 1 pattern
size 326 → 3 pattern
size 327 → 2 pattern
size 328 → 5 pattern
size 329 → 1 pattern
size 330 → 7 pattern
size 331 → 1 pattern
size 332 → 4 pattern
size 333 → 3 pattern
size 334 → 4 pattern
size 335 → 3 pattern
size 337 → 3 pattern
size 338 → 3 pattern
size 339 → 3 pattern
size 340 → 6 pattern
size 341 → 2 pattern
size 342 → 3 pattern
size 343 → 1 pattern
size 344 → 6 pattern
size 345 → 3 pattern
size 346 → 4 pattern
size 347 → 2 pattern
size 348 → 2 pattern
size 349 → 4 pattern
size 350 → 5 pattern
size 351 → 4 pattern
size 352 → 3 pattern
size 353 → 1 pattern
size 354 → 1 pattern
size 355 → 1 pattern
size 356 → 1 pattern
size 357 → 2 pattern
size 358 → 2 pattern
size 359 → 2 pattern
size 360 → 1 pattern
size 361 → 6 pattern
