
=== GRAPH INFO ===
Nodi: 29427
Archi: 259367
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 217385252 = 6y10m3w5d


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 18103

size 57 → 24 pattern
size 58 → 31 pattern
size 59 → 16 pattern
size 60 → 29 pattern
size 61 → 25 pattern
size 62 → 22 pattern
size 63 → 25 pattern
size 64 → 29 pattern
size 65 → 29 pattern
size 66 → 30 pattern
size 67 → 24 pattern
size 68 → 26 pattern
size 69 → 22 pattern
size 70 → 25 pattern
size 71 → 21 pattern
size 72 → 22 pattern
size 73 → 23 pattern
size 74 → 16 pattern
size 75 → 22 pattern
size 76 → 20 pattern
size 77 → 15 pattern
size 78 → 23 pattern
size 79 → 16 pattern
size 80 → 15 pattern
size 81 → 16 pattern
size 82 → 19 pattern
size 83 → 18 pattern
size 84 → 12 pattern
size 85 → 24 pattern
size 86 → 22 pattern
size 87 → 17 pattern
size 88 → 16 pattern
size 89 → 15 pattern
size 90 → 21 pattern
size 91 → 16 pattern
size 92 → 17 pattern
size 93 → 16 pattern
size 94 → 22 pattern
size 95 → 17 pattern
size 96 → 9 pattern
size 97 → 17 pattern
size 98 → 13 pattern
size 99 → 12 pattern
size 100 → 13 pattern
size 101 → 16 pattern
size 102 → 14 pattern
size 103 → 9 pattern
size 104 → 15 pattern
size 105 → 19 pattern
size 106 → 12 pattern
size 107 → 12 pattern
size 108 → 12 pattern
size 109 → 10 pattern
size 110 → 16 pattern
size 111 → 9 pattern
size 112 → 14 pattern
size 113 → 12 pattern
size 114 → 10 pattern
size 115 → 12 pattern
size 116 → 12 pattern
size 117 → 12 pattern
size 118 → 12 pattern
size 119 → 12 pattern
size 120 → 8 pattern
size 121 → 12 pattern
size 122 → 11 pattern
size 123 → 18 pattern
size 124 → 8 pattern
size 125 → 7 pattern
size 126 → 13 pattern
size 127 → 10 pattern
size 128 → 16 pattern
size 129 → 11 pattern
size 130 → 8 pattern
size 131 → 11 pattern
size 132 → 6 pattern
size 133 → 12 pattern
size 134 → 11 pattern
size 135 → 6 pattern
size 136 → 9 pattern
size 137 → 20 pattern
size 138 → 7 pattern
size 139 → 12 pattern
size 140 → 15 pattern
size 141 → 8 pattern
size 142 → 9 pattern
size 143 → 5 pattern
size 144 → 10 pattern
size 145 → 7 pattern
size 146 → 6 pattern
size 147 → 5 pattern
size 148 → 7 pattern
size 149 → 11 pattern
size 150 → 8 pattern
size 151 → 8 pattern
size 152 → 7 pattern
size 153 → 7 pattern
size 154 → 13 pattern
size 155 → 8 pattern
size 156 → 12 pattern
size 157 → 8 pattern
size 158 → 7 pattern
size 159 → 15 pattern
size 160 → 8 pattern
size 161 → 8 pattern
size 162 → 8 pattern
size 163 → 10 pattern
size 164 → 10 pattern
size 165 → 8 pattern
size 166 → 11 pattern
size 167 → 3 pattern
size 168 → 10 pattern
size 169 → 3 pattern
size 170 → 7 pattern
size 171 → 7 pattern
size 172 → 8 pattern
size 173 → 6 pattern
size 174 → 12 pattern
size 175 → 7 pattern
size 176 → 4 pattern
size 177 → 6 pattern
size 178 → 2 pattern
size 179 → 9 pattern
size 180 → 7 pattern
size 181 → 6 pattern
size 182 → 4 pattern
size 183 → 10 pattern
size 184 → 4 pattern
size 185 → 9 pattern
size 186 → 2 pattern
size 187 → 9 pattern
size 188 → 8 pattern
size 189 → 8 pattern
size 190 → 6 pattern
size 191 → 6 pattern
size 192 → 5 pattern
size 193 → 4 pattern
size 194 → 5 pattern
size 195 → 8 pattern
size 196 → 7 pattern
size 197 → 8 pattern
size 198 → 5 pattern
size 199 → 1 pattern
size 200 → 11 pattern
size 201 → 8 pattern
size 202 → 2 pattern
size 203 → 4 pattern
size 204 → 5 pattern
size 205 → 5 pattern
size 206 → 6 pattern
size 207 → 5 pattern
size 208 → 5 pattern
size 209 → 8 pattern
size 210 → 4 pattern
size 211 → 10 pattern
size 212 → 11 pattern
size 213 → 2 pattern
size 214 → 8 pattern
size 215 → 2 pattern
size 216 → 5 pattern
size 217 → 4 pattern
size 218 → 6 pattern
size 219 → 4 pattern
size 220 → 9 pattern
size 221 → 4 pattern
size 222 → 4 pattern
size 223 → 4 pattern
size 224 → 6 pattern
size 225 → 5 pattern
size 226 → 6 pattern
size 227 → 13 pattern
size 228 → 4 pattern
size 229 → 6 pattern
size 230 → 5 pattern
size 231 → 8 pattern
size 232 → 3 pattern
size 233 → 6 pattern
size 234 → 4 pattern
size 235 → 4 pattern
size 236 → 5 pattern
size 237 → 4 pattern
size 238 → 4 pattern
size 239 → 5 pattern
size 240 → 6 pattern
size 241 → 9 pattern
size 242 → 3 pattern
size 243 → 8 pattern
size 244 → 10 pattern
size 245 → 4 pattern
size 246 → 2 pattern
size 247 → 7 pattern
size 248 → 5 pattern
size 249 → 5 pattern
size 250 → 3 pattern
size 251 → 5 pattern
size 252 → 6 pattern
size 253 → 7 pattern
size 254 → 2 pattern
size 255 → 4 pattern
size 256 → 8 pattern
size 257 → 9 pattern
size 258 → 5 pattern
size 259 → 9 pattern
size 260 → 5 pattern
size 261 → 7 pattern
size 262 → 3 pattern
size 263 → 3 pattern
size 265 → 4 pattern
size 266 → 4 pattern
size 267 → 4 pattern
size 268 → 3 pattern
size 269 → 3 pattern
size 270 → 2 pattern
size 271 → 6 pattern
size 272 → 5 pattern
size 273 → 2 pattern
size 274 → 6 pattern
size 275 → 5 pattern
size 276 → 3 pattern
size 277 → 1 pattern
size 278 → 2 pattern
size 279 → 3 pattern
size 280 → 5 pattern
size 281 → 2 pattern
size 282 → 8 pattern
size 283 → 5 pattern
size 284 → 2 pattern
size 285 → 4 pattern
size 286 → 3 pattern
size 287 → 2 pattern
size 288 → 2 pattern
size 289 → 4 pattern
size 290 → 4 pattern
size 291 → 4 pattern
size 292 → 4 pattern
size 293 → 3 pattern
size 294 → 3 pattern
size 295 → 3 pattern
size 296 → 2 pattern
size 297 → 2 pattern
size 298 → 7 pattern
size 299 → 2 pattern
size 300 → 3 pattern
size 301 → 2 pattern
size 302 → 1 pattern
size 303 → 5 pattern
size 305 → 2 pattern
size 306 → 4 pattern
size 307 → 2 pattern
size 308 → 1 pattern
size 309 → 3 pattern
size 310 → 3 pattern
size 311 → 7 pattern
size 312 → 7 pattern
size 313 → 4 pattern
